episode_number,guest,title,title_topics,chapter_topics,all_topics
1,Do Something Difficult Every Day AMA 1,Do Something Difficult Every Day AMA 1 - Ask Me Anything with Lex Fridman,Do Something Difficult Every Day AMA 1 - Ask Me Anything with Lex Fridman,Your; Intelligence; Gonna; Build; Them; Better; Intelligent; Universe; Goals; Consciousness; Future; Machines; Processing; Conscious; Information,Do Something Difficult Every Day AMA 1 - Ask Me Anything with Lex Fridman; Your; Intelligence; Gonna; Build; Them; Better; Intelligent; Universe; Goals; Consciousness; Future; Machines; Processing; Conscious; Information
2,Sleep and Burnout AMA 2,Sleep and Burnout AMA 2 - Ask Me Anything with Lex Fridman,Sleep and Burnout AMA 2 - Ask Me Anything with Lex Fridman,Consciousness; Your; Experience; Conscious; Brain; Intelligence; Doesn; Course; Them; Computer; Their; Experiences; System; Theory; Universe,Sleep and Burnout AMA 2 - Ask Me Anything with Lex Fridman; Consciousness; Your; Experience; Conscious; Brain; Intelligence; Doesn; Course; Them; Computer; Their; Experiences; System; Theory; Universe
3,Dealing with Negative Comments AMA 3,Dealing with Negative Comments AMA 3 - Ask Me Anything with Lex Fridman,Dealing with Negative Comments AMA 3 - Ask Me Anything with Lex Fridman,Intelligence; Artificial; System; Reason; Goal; Engineering; Power; Book; Knowledge; Neural; Threat; Worry; Enough; Build; Cancer,Dealing with Negative Comments AMA 3 - Ask Me Anything with Lex Fridman; Intelligence; Artificial; System; Reason; Goal; Engineering; Power; Book; Knowledge; Neural; Threat; Worry; Enough; Build; Cancer
4,Impostor Syndrome,Impostor Syndrome - Pave Your Own Path AMA 4 - Ask Me Anything with Lex Fridman,Impostor Syndrome - Pave Your Own Path AMA 4 - Ask Me Anything with Lex Fridman,Learning; Neural; Knowledge; Your; Science; Term; Learn; Systems; Artificial; Nets; Current; Course; Networks; Language; Machine,Impostor Syndrome - Pave Your Own Path AMA 4 - Ask Me Anything with Lex Fridman; Learning; Neural; Knowledge; Your; Science; Term; Learn; Systems; Artificial; Nets; Current; Course; Networks; Language; Machine
5,Who is Hedgy,Who is Hedgy - A Story of Minimalism AMA 5 - Ask Me Anything with Lex Fridman,Who is Hedgy - A Story of Minimalism AMA 5 - Ask Me Anything with Lex Fridman,Learning; Duck; Function; Your; Intelligence; Functions; Predicate; Describe; Deep; General; Teacher; Training; Looks; Machine; Information,Who is Hedgy - A Story of Minimalism AMA 5 - Ask Me Anything with Lex Fridman; Learning; Duck; Function; Your; Intelligence; Functions; Predicate; Describe; Deep; General; Teacher; Training; Looks; Machine; Information
6,Make,Make Disadvantage Your Superpower Lex Fridman AMA 6,Make Disadvantage Your Superpower Lex Fridman AMA 6,Programming; Python; Language; Your; Program; Intelligence; Rules; Computer; Didn; Consciousness; Design; Languages; Thought; Create; Code,Make Disadvantage Your Superpower Lex Fridman AMA 6; Programming; Python; Language; Your; Program; Intelligence; Rules; Computer; Didn; Consciousness; Design; Languages; Thought; Create; Code
7,Jeff Atwood,Jeff Atwood - Stack Overflow and Coding Horror,Jeff Atwood - Stack Overflow and Coding Horror,Your; Stuff; Programming; Stack; Overflow; Gonna; Discourse; Software; Them; Code; Blog; Super; Community; Programmer; Computer,Jeff Atwood - Stack Overflow and Coding Horror; Your; Stuff; Programming; Stack; Overflow; Gonna; Discourse; Software; Them; Code; Blog; Super; Community; Programmer; Computer
8,Eric Schmidt,Eric Schmidt - Google,Eric Schmidt - Google,Them; Their; Impact; Next; Google; Forth; Five; Technology; Math; Your; General; Intelligence; Better; Artificial; Moment,Eric Schmidt - Google; Them; Their; Impact; Next; Google; Forth; Five; Technology; Math; Your; General; Intelligence; Better; Artificial; Moment
9,Stuart Russell,Stuart Russell - Long-Term Future of Artificial Intelligence,Stuart Russell - Long-Term Future of Artificial Intelligence,Machine; Objective; Gonna; Your; Chess; Wrong; Possible; Them; Machines; Control; Systems; Program; Move; Pretty; Reasoning,Stuart Russell - Long-Term Future of Artificial Intelligence; Machine; Objective; Gonna; Your; Chess; Wrong; Possible; Them; Machines; Control; Systems; Program; Move; Pretty; Reasoning
10,Pieter Abbeel,Pieter Abbeel - Deep Reinforcement Learning,Pieter Abbeel - Deep Reinforcement Learning,Learning; Robot; Learn; Robots; Somehow; Around; Your; Hard; Pretty; Course; Reinforcement; Play; Better; Self; Driving,Pieter Abbeel - Deep Reinforcement Learning; Learning; Robot; Learn; Robots; Somehow; Around; Your; Hard; Pretty; Course; Reinforcement; Play; Better; Self; Driving
11,Juergen Schmidhuber,"Juergen Schmidhuber - Godel Machines, Meta-Learning, and LSTMs",Juergen Schmidhuber - Godel Machines; Meta-Learning; and LSTMs,Problems; Learning; Universe; Data; Learn; Solve; Model; Networks; Already; Systems; Future; Your; Simple; Search; Humans,Juergen Schmidhuber - Godel Machines; Meta-Learning; and LSTMs; Problems; Learning; Universe; Data; Learn; Solve; Model; Networks; Already; Systems; Future; Your; Simple; Search; Humans
